Country name,Happiness score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,IS_HAPPY
Slovenia,6.461,10.529,0.948,71.4,0.949,-0.101,0.806,1
Guatemala,6.435,9.053,0.813,64.958,0.906,-0.038,0.775,1
Uruguay,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,1
Singapore,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,1
Kosovo,6.372,9.318,0.821,63.813,0.869,0.257,0.917,1
Slovakia,6.331,10.369,0.936,69.201,0.766,-0.124,0.911,1
Brazil,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,1
Mexico,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,1
Jamaica,6.309,9.186,0.877,67.5,0.89,-0.137,0.884,1
Lithuania,6.255,10.499,0.935,67.906,0.773,-0.203,0.826,1
Cyprus,6.223,10.576,0.802,73.898,0.763,-0.015,0.844,1
Estonia,6.189,10.481,0.941,68.8,0.909,-0.106,0.527,1
Panama,6.18,10.35,0.896,69.652,0.872,-0.166,0.856,1
Uzbekistan,6.179,8.836,0.918,65.255,0.97,0.311,0.515,1
Chile,6.172,10.071,0.882,70.0,0.742,-0.044,0.83,1
Poland,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,1
Kazakhstan,6.152,10.155,0.952,65.2,0.853,-0.069,0.733,1
Romania,6.14,10.284,0.832,67.355,0.845,-0.219,0.938,1
Kuwait,6.106,10.817,0.843,66.9,0.867,-0.104,0.736,1
Serbia,6.078,9.787,0.873,68.6,0.778,0.002,0.835,1
El Salvador,6.061,9.054,0.762,66.402,0.888,-0.11,0.688,1
Mauritius,6.049,10.008,0.905,66.701,0.867,-0.054,0.789,1
Latvia,6.032,10.315,0.927,67.1,0.715,-0.162,0.8,1
Colombia,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,1
Hungary,5.992,10.358,0.943,68.0,0.755,-0.186,0.876,1
Thailand,5.985,9.805,0.888,67.401,0.884,0.287,0.895,1
Nicaragua,5.972,8.62,0.864,67.657,0.836,0.02,0.664,1
Japan,5.94,10.611,0.884,75.1,0.796,-0.258,0.638,1
Argentina,5.929,9.962,0.898,69.0,0.828,-0.182,0.834,1
Portugal,5.929,10.421,0.879,72.6,0.892,-0.244,0.887,1
Honduras,5.919,8.648,0.812,67.3,0.857,0.081,0.809,1
Croatia,5.882,10.217,0.924,70.799,0.754,-0.118,0.939,1
Philippines,5.88,9.076,0.83,62.0,0.917,-0.097,0.742,1
South Korea,5.845,10.651,0.799,73.9,0.672,-0.083,0.727,1
Peru,5.84,9.458,0.832,68.25,0.822,-0.154,0.891,1
Bosnia and Herzegovina,5.813,9.59,0.87,68.098,0.706,0.113,0.931,1
Moldova,5.766,9.454,0.857,65.699,0.822,-0.079,0.918,1
Ecuador,5.764,9.313,0.821,68.8,0.842,-0.124,0.843,1
Kyrgyzstan,5.744,8.538,0.893,64.401,0.935,0.119,0.908,1
Greece,5.723,10.279,0.823,72.6,0.582,-0.288,0.823,1
Bolivia,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,1
Mongolia,5.677,9.4,0.935,62.5,0.708,0.116,0.856,1
Paraguay,5.653,9.448,0.893,65.9,0.876,0.028,0.882,1
Montenegro,5.581,9.94,0.858,68.699,0.708,-0.034,0.812,1
Dominican Republic,5.545,9.802,0.853,66.102,0.86,-0.133,0.714,1
North Cyprus,5.536,10.576,0.82,73.898,0.795,0.012,0.626,1
Belarus,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,1
Russia,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,0
Hong Kong S.A.R. of China,5.477,11.0,0.836,76.82,0.717,0.067,0.403,0
Tajikistan,5.466,8.091,0.86,64.281,0.832,-0.056,0.553,0
Vietnam,5.411,8.973,0.85,68.034,0.94,-0.098,0.796,0
Libya,5.41,9.622,0.827,62.3,0.771,-0.087,0.667,0
Malaysia,5.384,10.238,0.817,67.102,0.895,0.125,0.839,0
Indonesia,5.345,9.365,0.811,62.236,0.873,0.542,0.867,0
Congo (Brazzaville),5.342,8.117,0.636,58.221,0.695,-0.068,0.745,0
China,5.339,9.673,0.811,69.593,0.904,-0.146,0.755,0
Ivory Coast,5.306,8.551,0.644,50.114,0.741,-0.016,0.794,0
Armenia,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,0
Nepal,5.269,8.12,0.774,64.233,0.782,0.152,0.727,0
Bulgaria,5.266,10.016,0.931,67.0,0.788,-0.096,0.932,0
Maldives,5.198,9.826,0.913,70.6,0.854,0.024,0.825,0
Azerbaijan,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,0
Cameroon,5.142,8.189,0.71,53.515,0.731,0.026,0.848,0
Senegal,5.132,8.118,0.71,59.802,0.695,-0.046,0.801,0
Albania,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,0
North Macedonia,5.101,9.693,0.805,65.474,0.751,0.038,0.905,0
Ghana,5.088,8.58,0.727,57.586,0.807,0.123,0.848,0
Niger,5.074,7.098,0.641,53.78,0.806,0.018,0.693,0
Turkmenistan,5.066,9.629,0.983,62.409,0.877,0.273,0.888,0
Gambia,5.051,7.686,0.69,55.16,0.697,0.424,0.746,0
Benin,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,0
Laos,5.03,8.947,0.728,58.968,0.91,0.123,0.658,0
Bangladesh,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,0
Guinea,4.984,7.838,0.639,55.008,0.697,0.095,0.766,0
South Africa,4.956,9.403,0.86,56.904,0.749,-0.067,0.86,0
Turkey,4.948,10.24,0.822,67.199,0.576,-0.139,0.776,0
Pakistan,4.934,8.458,0.651,58.709,0.726,0.098,0.787,0
Morocco,4.918,8.903,0.56,66.208,0.774,-0.236,0.801,0
Venezuela,4.892,9.073,0.861,66.7,0.615,-0.169,0.827,0
Georgia,4.891,9.585,0.671,64.3,0.783,-0.238,0.655,0
Algeria,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,0
Ukraine,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,0
Iraq,4.854,9.24,0.746,60.583,0.63,-0.053,0.875,0
Gabon,4.852,9.603,0.776,59.962,0.731,-0.2,0.84,0
Burkina Faso,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,0
Cambodia,4.83,8.36,0.765,62.0,0.959,0.034,0.843,0
Mozambique,4.794,7.158,0.744,54.706,0.882,0.061,0.684,0
Nigeria,4.759,8.533,0.74,50.102,0.737,0.037,0.878,0
Mali,4.723,7.744,0.724,51.969,0.697,-0.036,0.827,0
Iran,4.721,9.584,0.71,66.3,0.608,0.218,0.714,0
Uganda,4.636,7.677,0.781,56.101,0.709,0.122,0.855,0
Liberia,4.625,7.288,0.72,56.498,0.735,0.05,0.85,0
Kenya,4.607,8.361,0.688,60.704,0.779,0.287,0.825,0
Tunisia,4.596,9.266,0.691,67.201,0.656,-0.201,0.87,0
Lebanon,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,0
Namibia,4.574,9.161,0.818,56.799,0.719,-0.149,0.847,0
Palestinian Territories,4.517,8.485,0.826,62.25,0.653,-0.163,0.821,0
Myanmar,4.426,8.541,0.779,59.302,0.876,0.509,0.66,0
Jordan,4.395,9.182,0.767,67.0,0.755,-0.167,0.705,0
Chad,4.355,7.364,0.619,48.478,0.579,0.041,0.807,0
Sri Lanka,4.325,9.47,0.827,67.299,0.841,0.079,0.863,0
Swaziland,4.308,9.065,0.77,50.833,0.647,-0.185,0.708,0
Comoros,4.289,8.031,0.626,57.349,0.548,0.082,0.781,0
Egypt,4.283,9.367,0.75,61.998,0.749,-0.182,0.795,0
Ethiopia,4.275,7.694,0.764,59.0,0.752,0.082,0.761,0
Mauritania,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,0
Madagascar,4.208,7.396,0.686,59.305,0.552,-0.005,0.803,0
Togo,4.107,7.362,0.569,54.914,0.619,0.032,0.772,0
Zambia,4.073,8.145,0.708,55.809,0.782,0.061,0.823,0
Sierra Leone,3.849,7.434,0.63,51.651,0.717,0.084,0.866,0
India,3.819,8.755,0.603,60.633,0.893,0.089,0.774,0
Burundi,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,0
Yemen,3.658,7.578,0.832,57.122,0.602,-0.147,0.8,0
Tanzania,3.623,7.876,0.702,57.999,0.833,0.183,0.577,0
Haiti,3.615,7.477,0.54,55.7,0.593,0.422,0.721,0
Malawi,3.6,6.958,0.537,57.948,0.78,0.038,0.729,0
Lesotho,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,0
Botswana,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,0
Rwanda,3.415,7.676,0.552,61.4,0.897,0.061,0.167,0
Zimbabwe,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,0
Afghanistan,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,0
